titre,nomChaine,categorie,categorie_id,int_com,int_notes,erreur_vid,heure_publication,date_publication,date_tendance,vues,likes,dislikes,nb_com
NOTRE PREMIÈRE DISPUTE DE COUPLE !!,Tibo InShape,Anime/Animation,1,False,False,False,17:00:12,19/11/2017,23/11/2017,1618064,92754,5332,3822
Post Malone - rockstar ft. 21 Savage,PostMaloneVEVO,Comedy,4,False,False,False,05:00:01,22/11/2017,24/11/2017,11202281,686143,17999,68980
"Golden State Warriors vs OKC Thunder - Full Game Highlights | Nov 22, 2017 | 2017-18 NBA Season",Ximo Pierto,Anime/Animation,1,False,False,False,03:35:06,23/11/2017,24/11/2017,1333050,8602,356,2651
P!nk - Beautiful Trauma (Official Video),PinkVEVO,Comedy,4,False,False,False,14:00:02,21/11/2017,24/11/2017,8464537,327504,12297,24010
Sia - Santa's Coming For Us,SiaVEVO,Comedy,4,False,False,False,16:00:02,22/11/2017,24/11/2017,1481114,87125,3020,9135
The Poop In My Pants | Rick and Morty | Adult Swim,Adult Swim,Foreign,7,False,False,False,15:00:17,22/11/2017,24/11/2017,3765990,117001,4148,14779
GROSSE ANNONCE...,NORMAN FAIT DES VIDÉOS,Family,6,False,False,False,16:00:01,24/11/2017,25/11/2017,1841835,282509,2616,9342
BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,ibighit,Comedy,4,False,False,False,09:00:02,24/11/2017,25/11/2017,13945717,2055178,23889,395567
DZjoker CLASH ...,Dzjoker Chemsou,Family,6,False,False,False,20:26:12,23/11/2017,25/11/2017,2911616,200586,4453,55761
Primitive Technology: New area starting from scratch,Primitive Technology,Drama,5,False,False,False,21:03:09,24/11/2017,25/11/2017,1783347,111683,747,12315
والدة التلميذ اللي شرمل الأستاذة ديالو في تصريح قوي..ها علاش ضرب ولدي الأستاذة ديالو,Chouftv - شوف تيفي,Horror,8,False,False,False,16:25:16,23/11/2017,25/11/2017,1416537,11566,4330,8317
OK Go - Obsession - Official Video,OK Go,Comedy,4,False,False,False,20:04:44,23/11/2017,25/11/2017,2618344,45197,2315,3332
Le Coup de Foudre - Partie 3,Lolywood,Family,6,False,False,False,17:00:01,22/11/2017,25/11/2017,1392816,103374,579,2204
Post Malone - rockstar ft. 21 Savage,PostMaloneVEVO,Comedy,4,False,False,False,05:00:01,22/11/2017,25/11/2017,15162291,789844,21325,74797
"Tik Tik Tik - Official Tamil Trailer | Jayam Ravi, Nivetha Pethuraj | D.Imman | Shakti Soundar Rajan",Sony Music India,Comedy,4,False,False,False,11:30:01,24/11/2017,25/11/2017,1397518,88395,1115,5382
"Romeo Santos, Daddy Yankee, Nicky Jam - Bella y Sensual (Official Video)",RomeoSantosVEVO,Comedy,4,False,False,False,05:00:00,24/11/2017,25/11/2017,6423067,212598,5616,10785
99 CUTEST HOME DECORATION IDEAS YOU'VE EVER SEEN,5-Minute Crafts,Sci-Fi/Fantasy,11,False,False,False,08:30:00,24/11/2017,25/11/2017,1603701,15658,1188,1124
STUNG by a WARRIOR WASP!,Brave Wilderness,Science & Technology,10,False,False,False,12:00:03,24/11/2017,25/11/2017,2693637,129051,1486,34224
MEME REVIEW: Stolen Bike Meme,PewDiePie,Family,6,False,False,False,17:51:12,23/11/2017,25/11/2017,1841122,175431,2650,17099
GROSSE ANNONCE...,NORMAN FAIT DES VIDÉOS,Family,6,False,False,False,16:00:01,24/11/2017,26/11/2017,2554481,345271,3613,10732
Primitive Technology: New area starting from scratch,Primitive Technology,Drama,5,False,False,False,21:03:09,24/11/2017,26/11/2017,4026193,168203,1448,17693
Liverpool vs Chelsea 1-1 - Highlights & Goals - 25 November 2017,FOOTBALL MINDS,Anime/Animation,1,False,False,False,19:30:03,25/11/2017,26/11/2017,1320828,6177,506,924
BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,ibighit,Comedy,4,False,False,False,09:00:02,24/11/2017,26/11/2017,20565795,2320652,33226,477215
Real Madrid vs Malaga 3-2 - All Goals & Extended Highlights - La Liga 25/11/2017 HD,GOLAZO TV,Anime/Animation,1,False,False,False,17:18:40,25/11/2017,26/11/2017,1407953,7654,959,1381
DZjoker CLASH ...,Dzjoker Chemsou,Family,6,False,False,False,20:26:12,23/11/2017,26/11/2017,3947386,247661,5282,62153
LE MEILLEUR JEU EN VAISSEAU feat. FloBer & Lucien Maine,Mcfly & Carlito,Foreign,7,False,False,False,09:30:56,26/11/2017,27/11/2017,1376669,106712,7880,3965
Seb la Frite - Autotune,SEB,Family,6,False,False,False,14:44:44,25/11/2017,27/11/2017,1790238,134423,2647,6238
GROSSE ANNONCE...,NORMAN FAIT DES VIDÉOS,Family,6,False,False,False,16:00:01,24/11/2017,27/11/2017,2755377,362757,3889,10905
L'EXPLICATION DU MANOIR HANTÉ,LE GRAND JD,Foreign,7,False,False,False,20:07:46,23/11/2017,27/11/2017,1366970,138679,3016,17587
35 CHEAP AND SIMPLE HACKS THAT WILL CHANGE YOUR LIFE,5-Minute Crafts,Sci-Fi/Fantasy,11,False,False,False,08:30:00,26/11/2017,27/11/2017,1903983,20042,1818,1388
Black Mirror - Arkangel | Official Trailer [HD] | Netflix,Netflix,Foreign,7,False,False,False,14:30:01,25/11/2017,27/11/2017,1776191,21784,1286,2426
Real Madrid vs Malaga 3-2 - All Goals & Extended Highlights - La Liga 25/11/2017 HD,GOLAZO TV,Anime/Animation,1,False,False,False,17:18:40,25/11/2017,27/11/2017,1892074,9147,1203,1516
LE MEILLEUR JEU EN VAISSEAU feat. FloBer & Lucien Maine,Mcfly & Carlito,Foreign,7,False,False,False,09:30:56,26/11/2017,28/11/2017,1622232,116852,8955,4356
Ugo Star de la Mode,Lolywood,Family,6,False,False,False,15:00:00,26/11/2017,28/11/2017,1314990,79983,1319,1608
Seb la Frite - Autotune,SEB,Family,6,False,False,False,14:44:44,25/11/2017,28/11/2017,1909176,140757,2819,6588
GROSSE ANNONCE...,NORMAN FAIT DES VIDÉOS,Family,6,False,False,False,16:00:01,24/11/2017,28/11/2017,2844631,369792,3981,11016
Valencia vs Barcelona 1-1 - Highlights & Goals - 26 November 2017,FOOTBALL MINDS,Anime/Animation,1,False,False,False,21:41:36,26/11/2017,28/11/2017,1379935,5493,701,1685
Ellen Makes 'Friends' with BTS!,TheEllenShow,Foreign,7,False,False,False,14:00:02,27/11/2017,28/11/2017,1548962,122672,1422,15016
Valencia vs Barcelona 1-1 - All Goals & Extended Highlights - La Liga 26/11/2017 HD,GOLAZO TV,Anime/Animation,1,False,False,False,21:50:26,26/11/2017,28/11/2017,1472251,7194,654,2032
Avengers: Infinity War Trailer Tease,Marvel Entertainment,Foreign,7,False,False,False,17:09:22,28/11/2017,29/11/2017,3111226,127081,12404,18233
LE MEILLEUR JEU EN VAISSEAU feat. FloBer & Lucien Maine,Mcfly & Carlito,Foreign,7,False,False,False,09:30:56,26/11/2017,29/11/2017,1702497,119984,9308,4493
Ugo Star de la Mode,Lolywood,Family,6,False,False,False,15:00:00,26/11/2017,29/11/2017,1398118,83045,1392,1681
Söz | 23.Bölüm,Söz Dizi,Autos & Vehicles,2,False,False,False,20:50:02,27/11/2017,29/11/2017,2139781,27976,1709,3418
Avengers: Infinity War Trailer Tease,Marvel Entertainment,Foreign,7,False,False,False,17:09:22,28/11/2017,30/11/2017,6941731,177893,19441,21252
2 wingsuit flyers BASE jump into a plane in mid-air. | A Door In The Sky,Red Bull,Anime/Animation,1,False,False,False,16:00:03,28/11/2017,30/11/2017,1699436,20220,348,1314
Liquid Sand Hot Tub- Fluidized air bed,Mark Rober,Shorts,12,False,False,False,21:05:56,28/11/2017,30/11/2017,3670052,126017,2696,9254
"Love, Simon | Official Trailer [HD] | 20th Century FOX",20th Century Fox,Autos & Vehicles,2,False,False,False,21:28:53,28/11/2017,30/11/2017,1752831,36995,2137,4048
ON FÊTE NOS 2 MILLIONS D'ABONNÉS EN LIVE (Best Of),Mcfly & Carlito,Foreign,7,False,False,False,17:17:55,29/11/2017,01/12/2017,1354894,75102,1110,4202
Slobodan Praljak commits suicide by drinking poison during ICTY decision,TRT World,Horror,8,False,False,False,11:21:33,29/11/2017,01/12/2017,1868531,3318,440,4285
Thaanaa Serndha Koottam Official Tamil Teaser | Suriya | Anirudh l Vignesh ShivN,Sony Music India,Comedy,4,False,False,False,13:30:03,30/11/2017,01/12/2017,3679229,294631,58478,18880
2 wingsuit flyers BASE jump into a plane in mid-air. | A Door In The Sky,Red Bull,Anime/Animation,1,False,False,False,16:00:03,28/11/2017,01/12/2017,2432670,25499,471,1749
Why Matt Lauer Wasn't On 'Today' Today,The Late Show with Stephen Colbert,Foreign,7,False,False,False,08:35:00,30/11/2017,01/12/2017,1650988,20852,927,1792
Avengers: Infinity War Trailer Tease,Marvel Entertainment,Foreign,7,False,False,False,17:09:22,28/11/2017,01/12/2017,7281189,180808,19955,21244
The New Snapchat in 60 Seconds,Snapchat,Comedy,4,True,True,False,14:00:03,29/11/2017,01/12/2017,1894753,0,0,0
Sam Smith - One Last Song (Official Video),SamSmithWorldVEVO,Comedy,4,False,False,False,12:00:00,29/11/2017,01/12/2017,2222937,132072,1350,5870
NORMAN - LE BUG DES 10 MILLIONS,NORMAN FAIT DES VIDÉOS,Family,6,False,False,False,16:08:49,01/12/2017,02/12/2017,2386817,362467,4643,23312
"Kaaris - Bling Bling ft. Kalash Criminel, Sofiane",KaarisOfficielVEVO,Comedy,4,False,False,False,17:00:03,30/11/2017,02/12/2017,1615698,82303,3724,5319
Demi Lovato - Tell Me You Love Me,DemiLovatoVEVO,Comedy,4,False,False,False,15:00:02,01/12/2017,02/12/2017,6296393,633639,8308,44548
Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio],Ed Sheeran,Comedy,4,False,False,False,00:54:56,01/12/2017,02/12/2017,8130538,643784,9699,35441
ON FÊTE NOS 2 MILLIONS D'ABONNÉS EN LIVE (Best Of),Mcfly & Carlito,Foreign,7,False,False,False,17:17:55,29/11/2017,02/12/2017,1549141,82114,1274,4532
Varus: As We Fall [OFFICIAL MUSIC VIDEO] | League of Legends Music,League of Legends,Comedy,4,False,False,False,15:21:18,30/11/2017,02/12/2017,2083366,91470,4635,11304
Martin Garrix & David Guetta - So Far Away (feat. Jamie Scott & Romy Dya) (Official Video),Martin Garrix,Comedy,4,False,False,False,05:01:33,01/12/2017,02/12/2017,1418342,161742,1771,10485
Slobodan Praljak commits suicide by drinking poison during ICTY decision,TRT World,Horror,8,False,False,False,11:21:33,29/11/2017,02/12/2017,2325378,5024,662,4008
G-Eazy & Halsey - Him & I (Official Video),GEazyMusicVEVO,Comedy,4,False,False,False,16:15:00,01/12/2017,02/12/2017,1554273,146689,1600,7305
